År	Län	Distance from station	Graderingsdatum	Mjöldagg % ang blad 1–3	Kornets bladfläcksjuka % ang blad 1–3	Sköldfläcksjuka % ang blad 1–3	Kornrost % ang blad 1–3	Trips antal/strå	Trips % ang bladslidor	Havrebladlus antal/strå	Sädesbladlus antal/strå	Svartpricksjuka % ang blad 1–3	Trips antal/planta	Bladlus antal/blad	Gröna löss antal/25 pl	Stritnymfer antal/blad	Vetets bladfläcksjuka % ang blad 1–3	Stråknäckare index	Primär angrepp % ang plantor	Bladmögel % ang plantor	Rotbrand ang pl/10 pl	Apotecier A antal/25 skl	Apotecier C antal/25 skl	Ärtvecklare antal/fälla	Bladmögel % ang bladyta	Bladfläcksvampar % ang blad 1–3	Betfluga 0–5	Jordburna insekter ang pl/10 pl	Fusarium % ang plantor	Rapsbagge antal/planta	Betrost % angripna blad	Stritar antal/dygn/fälla1	Stritar antal/dygn/fälla2	Betfluga ang pl/25 pl	Mjöldagg % angripna blad	Ärtbladlus antal/toppskott	Blygrå rapsvivel antal/planta	Längd cm	Cercospora % angripna blad	Stinkfly antal/blad	Betbladlus ang pl/25 pl	Svamp totalt % angripna blad	Ärtvivel % angripna blad	Planttäthet antal/100m	Alternaria % ang bladyta	Minerarfluga-stick % ang blad 1–3	Apotecier B antal/25 skl	Bipolaris % ang plantor	Apotecier D antal/25 skl	Jordloppor ang pl/25 pl	Bladmögel % angripna blad	Fritfluga % ang plantor	Jordloppor antal/meter	Brunrost % ang blad 1–3	Gräsbladlus antal/strå	Trips ang pl/25 pl	Vattentillgång 0–5	Gulrost % ang blad 1–3	Betbladlus antal/planta	Trips antal/toppskott	Kronrost % ang blad 1–3	Ramularia % angripna blad	Jordloppor % ang plantor	Nederbörd mm	Fjärilslarver % angripna blad
2007	Skåne län		2007-06-18	0						0	0,1	18					0									18																												18	0			0						36	
2007	Skåne län		2007-06-25	0						0	0,01	54					0									54																												30	0			0						28	
2007	Skåne län		2007-07-02	0						0	0	80					0									80																												50	0			0						28	
2007	Skåne län		2007-04-30												0						0						0	0	0					0							0			378						0						0	2		0						
2007	Skåne län		2007-04-23												0						0						0	0	0					0							0			328						0						0	3		0						
2007	Skåne län		2007-05-07																		0						0	0	0					0										381						0						1	2								
2007	Skåne län		2007-05-14																		0						0	0	0					0										382						1						0	4								
2007	Skåne län		2007-05-21																		0						0	0						2																0						0	3								
2007	Skåne län		2007-05-28												0						0						0	0						0							0									0						0	3		0						
2007	Skåne län		2007-06-04												0						0						0	0						0							1									0						0	3		2						
2007	Skåne län		2007-06-11												0												0							2							2																1		1						
2007	Skåne län		2007-06-18												0												0							0							2																3		0						
2007	Skåne län		2007-06-25												0												0							0							0																4		0						
2007	Skåne län		2007-07-02												0																										2																3		0,3						
2007	Skåne län		2007-04-30	0						0	0								0							0																										0			0						0				
2007	Skåne län		2007-04-23	0						0	0								0							0																										0			0						0				
2007	Skåne län		2007-05-07	0						0	0								0							0																										0			0						0				
2007	Skåne län		2007-05-14	0						0	0															0																													0						0				
2007	Skåne län		2007-05-21	0						0	0								0							0																										0,01			0						0				
2007	Skåne län		2007-05-28	0						0	0								0							8																										0			0						0				
2007	Skåne län		2007-06-04	0						0	0,1								0							4																										0			0,1						0				
2007	Skåne län		2007-06-11	0						0,05	0															30																													0						0				
2007	Skåne län		2007-06-18	14						0,9	0															44																													0						0				
2007	Skåne län		2007-06-25	16						0	0															68																													0						0				
2007	Skåne län		2007-07-02	16						0,1	0															48																													0						0				
2007	Skåne län		2007-04-30																			0	0							0,1							0										0		0															0	
2007	Skåne län		2007-04-23																			0	0							0,3							0										0		0																
2007	Skåne län		2007-05-07																			0	0							0,01							0										0		0															0	
2007	Skåne län		2007-05-14																			0	0														0										0		0															19	
2007	Skåne län		2007-05-21																			1	0							0							0										0		0															31	
2007	Skåne län		2007-05-28																			4	3							0							0										1		0															2	
2007	Skåne län		2007-06-04																			0	0							0							0										0		0															25	
2007	Skåne län		2007-04-30	0	0	20	38	0	0	0	0																																												0										
2007	Skåne län		2007-04-23	0	8	0	10			0	0																																												0										
2007	Skåne län		2007-05-07	0	0	10	18	0		0	0																																												0										
2007	Skåne län		2007-05-14	6	8	4	48	0,01		0	0																																												0										
2007	Skåne län		2007-05-21	4	6	8	56			0	0																																												0										
2007	Skåne län		2007-05-28	4	12	6	54			0	0																																												0										
2007	Skåne län		2007-06-11	14	10	12	22		0	0	0																																												0										
2007	Skåne län		2007-04-30	0						0	0	18					0									0																												0	0			0						0	
