;2007-15;2007-19;2007-23;2007-27;2007-29;2007-35;2007-37;2007-41;2007-45
Mjöldagg % ang blad 1–3;6.585083376525431;6.942319177538378;9.210419072984578;7.73139220969133;6.785016417719396;7.058663693460704;6.3811540456967295;6.990713006196562;7.167962140500036
Kornets bladfläcksjuka % ang blad 1–3;5.862788773832865;5.330599991193365;7.600858319274895;9.909560869874404;9.004146574943434;8.155675727153776;6.68567377425037;5.847666066136699;7.444190174218899
Svartpricksjuka % ang blad 1–3;3.245902653999489;4.179693648499214;3.7348057399515207;7.242287814139999;5.399582356663416;8.148047003893614;5.332411144465522;5.431653155653088;6.628252560983056
Vetets bladfläcksjuka % ang blad 1–3;1.328881477783522;3.725197593277179;6.204369441087662;6.66504658533894;5.204884133783495;5.967416482432777;4.48128737060753;3.4856429520871286;4.873357961705152
Bladmögel % ang bladyta;-0.9738220091789268;0.1277003666367;0.4717452587478394;2.873238055742179;0.9051126473078314;2.040918936047479;1.4392575344725755;-0.5035461994492104;-2.0011939902357905
Rapsbagge antal/planta;0.9721881943870322;2.548192945405662;1.961913030828639;2.317683689117464;2.789750749038397;4.104718231419954;2.50018404291018;1.799157287513239;2.6949720133515527
Ärtbladlus antal/toppskott;0.8180295884636788;1.3805277495069184;4.091259747974732;4.743874581981039;7.382418042172583;4.15878823271035;1.4933275357629718;5.57440854317984;2.653005656543748
Gulrost % ang blad 1–3;-0.9738220091789304;1.1393532926562526;2.9032882418621733;2.1296217883736217;2.696964244950441;5.0841086364372;4.945995731450609;6.099381183595283;3.578822733445864
Kronrost % ang blad 1–3;-1.3714853935958558;-0.5654824540590375;-0.3549758204691592;-1.618224110142124;0.2119298266120899;2.158708027853992;0.7460747137768343;0.5951225774976582;-0.4970392570377992
